FIPS,c,s,bi,bf,si,sf,gi,gf,pi,pf
02013,Aleutians East Borough,Alaska,5359,10718,2291,4582,1083,2167,,
02016,Aleutians West Census Area,Alaska,5359,10718,2291,4582,1083,2167,,
02020,Anchorage Municipality,Alaska,5359,10718,2291,4582,1083,2167,,
02050,Bethel Census Area,Alaska,5359,10718,2291,4582,1083,2167,,
02060,Bristol Bay Borough,Alaska,5359,10718,2291,4582,1083,2167,,
02068,Denali Borough,Alaska,5359,10718,2291,4582,1083,2167,,
02070,Dillingham Census Area,Alaska,5359,10718,2291,4582,1083,2167,,
02090,Fairbanks North Star Borough,Alaska,5359,10718,2291,4582,1083,2167,,
02100,Haines Borough,Alaska,5359,10718,2291,4582,1083,2167,,
02105,Hoonah-Angoon Census Area,Alaska,5359,10718,2291,4582,1083,2167,,
02110,Juneau City and Borough,Alaska,5359,10718,2291,4582,1083,2167,,
02122,Kenai Peninsula Borough,Alaska,5359,10718,2291,4582,1083,2167,,
02130,Ketchikan Gateway Borough,Alaska,5359,10718,2291,4582,1083,2167,,
02150,Kodiak Island Borough,Alaska,5359,10718,2291,4582,1083,2167,,
02164,Lake and Peninsula Borough,Alaska,5359,10718,2291,4582,1083,2167,,
02170,Matanuska-Susitna Borough,Alaska,5359,10718,2291,4582,1083,2167,,
02180,Nome Census Area,Alaska,5359,10718,2291,4582,1083,2167,,
02185,North Slope Borough,Alaska,5359,10718,2291,4582,1083,2167,,
02188,Northwest Arctic Borough,Alaska,5359,10718,2291,4582,1083,2167,,
02195,Petersburg Census Area,Alaska,5359,10718,2291,4582,1083,2167,,
02198,Prince of Wales-Hyder Census Area,Alaska,5359,10718,2291,4582,1083,2167,,
02220,Sitka City and Borough,Alaska,5359,10718,2291,4582,1083,2167,,
02230,Skagway Municipality,Alaska,5359,10718,2291,4582,1083,2167,,
02240,Southeast Fairbanks Census Area,Alaska,5359,10718,2291,4582,1083,2167,,
02261,Valdez-Cordova Census Area,Alaska,5359,10718,2291,4582,1083,2167,,
02270,Wade Hampton Census Area,Alaska,5359,10718,2291,4582,1083,2167,,
02275,Wrangell City and Borough,Alaska,5359,10718,2291,4582,1083,2167,,
02282,Yakutat City and Borough,Alaska,5359,10718,2291,4582,1083,2167,,
02290,Yukon-Koyukuk Census Area,Alaska,5359,10718,2291,4582,1083,2167,,
01001,Autauga County,Ala.,5706,11413,3333,6667,980,1960,175,350
01003,Baldwin County,Ala.,5706,11413,3333,6667,980,1960,175,350
01005,Barbour County,Ala.,5706,11413,3333,6667,980,1960,175,350
01007,Bibb County,Ala.,5706,11413,3333,6667,980,1960,175,350
01009,Blount County,Ala.,5706,11413,3333,6667,980,1960,175,350
01011,Bullock County,Ala.,5706,11413,3333,6667,980,1960,175,350
01013,Butler County,Ala.,5706,11413,3333,6667,980,1960,175,350
01015,Calhoun County,Ala.,5706,11413,3333,6667,980,1960,175,350
01017,Chambers County,Ala.,5706,11413,3333,6667,980,1960,175,350
01019,Cherokee County,Ala.,5706,11413,3333,6667,980,1960,175,350
01021,Chilton County,Ala.,5706,11413,3333,6667,980,1960,175,350
01023,Choctaw County,Ala.,5706,11413,3333,6667,980,1960,175,350
01025,Clarke County,Ala.,5706,11413,3333,6667,980,1960,175,350
01027,Clay County,Ala.,5706,11413,3333,6667,980,1960,175,350
01029,Cleburne County,Ala.,5706,11413,3333,6667,980,1960,175,350
01031,Coffee County,Ala.,5706,11413,3333,6667,980,1960,175,350
01033,Colbert County,Ala.,5706,11413,3333,6667,980,1960,175,350
01035,Conecuh County,Ala.,5706,11413,3333,6667,980,1960,175,350
01037,Coosa County,Ala.,5706,11413,3333,6667,980,1960,175,350
01039,Covington County,Ala.,5706,11413,3333,6667,980,1960,175,350
01041,Crenshaw County,Ala.,5706,11413,3333,6667,980,1960,175,350
01043,Cullman County,Ala.,5706,11413,3333,6667,980,1960,175,350
01045,Dale County,Ala.,5706,11413,3333,6667,980,1960,175,350
01047,Dallas County,Ala.,5706,11413,3333,6667,980,1960,175,350
01049,DeKalb County,Ala.,5706,11413,3333,6667,980,1960,175,350
01051,Elmore County,Ala.,5706,11413,3333,6667,980,1960,175,350
01053,Escambia County,Ala.,5706,11413,3333,6667,980,1960,175,350
01055,Etowah County,Ala.,5706,11413,3333,6667,980,1960,175,350
01057,Fayette County,Ala.,5706,11413,3333,6667,980,1960,175,350
01059,Franklin County,Ala.,5706,11413,3333,6667,980,1960,175,350
01061,Geneva County,Ala.,5706,11413,3333,6667,980,1960,175,350
01063,Greene County,Ala.,5706,11413,3333,6667,980,1960,175,350
01065,Hale County,Ala.,5706,11413,3333,6667,980,1960,175,350
01067,Henry County,Ala.,5706,11413,3333,6667,980,1960,175,350
01069,Houston County,Ala.,5706,11413,3333,6667,980,1960,175,350
01071,Jackson County,Ala.,5706,11413,3333,6667,980,1960,175,350
01073,Jefferson County,Ala.,5825,11650,3514,7029,1233,2467,450,900
01075,Lamar County,Ala.,5706,11413,3333,6667,980,1960,175,350
01077,Lauderdale County,Ala.,5706,11413,3333,6667,980,1960,175,350
01079,Lawrence County,Ala.,5706,11413,3333,6667,980,1960,175,350
01081,Lee County,Ala.,5706,11413,3333,6667,980,1960,175,350
01083,Limestone County,Ala.,5706,11413,3333,6667,980,1960,175,350
