FIPS,ctyname,apstate,total,total_chg,pop,income,bronze,bronze_chg,silver,silver_chg,gold,gold_chg,plat,plat_chg,bronze_indiv27,bronze_indiv50,bronze_fam,bronze_singfam,bronze_coup,bronze_indiv27_pct,bronze_indiv50_pct,bronze_fam_pct,bronze_singfam_pct,bronze_coup_pct,silver_indiv27,silver_indiv50,silver_fam,silver_singfam,silver_coup,silver_indiv27_pct,silver_indiv50_pct,silver_fam_pct,silver_singfam_pct,silver_coup_pct,gold_indiv27,gold_indiv50,gold_fam,gold_singfam,gold_coup,gold_indiv27_pct,gold_indiv50_pct,gold_fam_pct,gold_singfam_pct,gold_coup_pct,plat_indiv27,plat_indiv50,plat_fam,plat_singfam,plat_coup,plat_indiv27_pct,plat_indiv50_pct,plat_fam_pct,plat_singfam_pct,plat_coup_pct
55037,Florence County,Wis.,13,13,4486,44652,3,3,6,5,3,2,1,1,268.61,457.75,907.31,616.4,655.11,-99,-99,-99,-99,-99,324.28,552.64,1095.36,744.17,790.9,0.160214669052,0.16022841787,0.160216078805,0.160227627066,0.160221804952,350.49,597.3,1183.91,804.32,854.82,0.112843308462,0.112829302828,0.112843795236,0.112845204494,0.11284401281,411.5,701.29,1390.02,944.35,1003.64,-99,-99,-99,-99,-99
47019,Carter County,Tenn.,55,25,57531,32908,13,8,25,12,13,4,4,1,210.17,358.16,709.91,482.3,512.58,0.4812387235,0.481175147224,0.481200968119,0.481210766188,0.481205354047,258.65,440.8,873.7,593.57,630.84,0.330125056954,0.330151591414,0.330143951506,0.330135707142,0.330152247231,315.3,537.33,1065.03,723.56,768.99,0.238456489642,0.238452244693,0.238454930871,0.238458981566,0.238455360351,379.41,646.59,1281.58,870.68,925.35,0.202936050447,0.202920765066,0.202902140563,0.202906882203,0.20291976648
47059,Greene County,Tenn.,55,25,68755,35613,13,8,25,12,13,4,4,1,210.17,358.16,709.91,482.3,512.58,0.4812387235,0.481175147224,0.481200968119,0.481210766188,0.481205354047,258.65,440.8,873.7,593.57,630.84,0.330125056954,0.330151591414,0.330143951506,0.330135707142,0.330152247231,315.3,537.33,1065.03,723.56,768.99,0.238456489642,0.238452244693,0.238454930871,0.238458981566,0.238455360351,379.41,646.59,1281.58,870.68,925.35,0.202936050447,0.202920765066,0.202902140563,0.202906882203,0.20291976648
47067,Hancock County,Tenn.,55,25,6759,22205,13,8,25,12,13,4,4,1,210.17,358.16,709.91,482.3,512.58,0.4812387235,0.481175147224,0.481200968119,0.481210766188,0.481205354047,258.65,440.8,873.7,593.57,630.84,0.330125056954,0.330151591414,0.330143951506,0.330135707142,0.330152247231,315.3,537.33,1065.03,723.56,768.99,0.238456489642,0.238452244693,0.238454930871,0.238458981566,0.238455360351,379.41,646.59,1281.58,870.68,925.35,0.202936050447,0.202920765066,0.202902140563,0.202906882203,0.20291976648
47073,Hawkins County,Tenn.,55,25,56725,36419,13,8,25,12,13,4,4,1,210.17,358.16,709.91,482.3,512.58,0.4812387235,0.481175147224,0.481200968119,0.481210766188,0.481205354047,258.65,440.8,873.7,593.57,630.84,0.330125056954,0.330151591414,0.330143951506,0.330135707142,0.330152247231,315.3,537.33,1065.03,723.56,768.99,0.238456489642,0.238452244693,0.238454930871,0.238458981566,0.238455360351,379.41,646.59,1281.58,870.68,925.35,0.202936050447,0.202920765066,0.202902140563,0.202906882203,0.20291976648
47091,Johnson County,Tenn.,55,25,18199,30063,13,8,25,12,13,4,4,1,210.17,358.16,709.91,482.3,512.58,0.4812387235,0.481175147224,0.481200968119,0.481210766188,0.481205354047,258.65,440.8,873.7,593.57,630.84,0.330125056954,0.330151591414,0.330143951506,0.330135707142,0.330152247231,315.3,537.33,1065.03,723.56,768.99,0.238456489642,0.238452244693,0.238454930871,0.238458981566,0.238455360351,379.41,646.59,1281.58,870.68,925.35,0.202936050447,0.202920765066,0.202902140563,0.202906882203,0.20291976648
47163,Sullivan County,Tenn.,55,25,156675,40025,13,8,25,12,13,4,4,1,210.17,358.16,709.91,482.3,512.58,0.4812387235,0.481175147224,0.481200968119,0.481210766188,0.481205354047,258.65,440.8,873.7,593.57,630.84,0.330125056954,0.330151591414,0.330143951506,0.330135707142,0.330152247231,315.3,537.33,1065.03,723.56,768.99,0.238456489642,0.238452244693,0.238454930871,0.238458981566,0.238455360351,379.41,646.59,1281.58,870.68,925.35,0.202936050447,0.202920765066,0.202902140563,0.202906882203,0.20291976648
47171,Unicoi County,Tenn.,55,25,18287,35415,13,8,25,12,13,4,4,1,210.17,358.16,709.91,482.3,512.58,0.4812387235,0.481175147224,0.481200968119,0.481210766188,0.481205354047,258.65,440.8,873.7,593.57,630.84,0.330125056954,0.330151591414,0.330143951506,0.330135707142,0.330152247231,315.3,537.33,1065.03,723.56,768.99,0.238456489642,0.238452244693,0.238454930871,0.238458981566,0.238455360351,379.41,646.59,1281.58,870.68,925.35,0.202936050447,0.202920765066,0.202902140563,0.202906882203,0.20291976648
47179,Washington County,Tenn.,55,25,122840,42995,13,8,25,12,13,4,4,1,210.17,358.16,709.91,482.3,512.58,0.4812387235,0.481175147224,0.481200968119,0.481210766188,0.481205354047,258.65,440.8,873.7,593.57,630.84,0.330125056954,0.330151591414,0.330143951506,0.330135707142,0.330152247231,315.3,537.33,1065.03,723.56,768.99,0.238456489642,0.238452244693,0.238454930871,0.238458981566,0.238455360351,379.41,646.59,1281.58,870.68,925.35,0.202936050447,0.202920765066,0.202902140563,0.202906882203,0.20291976648
48423,Smith County,Texas,23,6,209691,47312,7,2,8,2,7,1,1,1,229.28,390.75,774.49,526.17,559.2,0.420147663644,0.420206734124,0.420206991653,0.420207941958,0.420168835523,281.36,479.49,950.39,645.68,686.22,0.240445689279,0.240450659044,0.240458911977,0.240471635892,0.240455531453,330.19,562.7,1115.33,757.73,805.3,0.175025364164,0.175000777835,0.175016985297,0.175015115489,0.175002918174,517.38,881.71,1747.64,1187.31,1261.84,-99,-99,-99,-99,-99
13089,DeKalb County,Ga.,27,-8,694671,51252,10,-3,11,0,4,-4,2,-1,279.8,476.84,945.13,642.1,682.42,0.402717200582,0.403007032101,0.403083568336,0.403084469575,0.403254657552,346.59,590.66,1170.74,795.38,845.32,0.402867826285,0.402562777068,0.402948283703,0.402935054856,0.402826097491,410.56,699.67,1386.81,942.17,1001.32,0.422209905517,0.421938296572,0.421530892038,0.421440721756,0.421981119683,488.37,832.28,1649.64,1120.73,1191.1,0.896287955269,0.896228708494,0.89632690982,0.896338845885,0.89629370184
48119,Delta County,Texas,23,6,5240,41406,7,2,8,2,7,1,1,1,254,432.86,857.97,582.88,619.48,0.38800848106,0.387994612967,0.387995522021,0.3879747589,0.387985194347,312.66,532.83,1056.11,717.5,762.55,0.21806077214,0.218055002786,0.218054344708,0.218056158925,0.21806619552,370.58,631.54,1251.75,850.42,903.81,0.165449629637,0.16544657767,0.165430415076,0.165440566327,0.165434557989,545.91,930.35,1844.02,1252.79,1331.44,-99,-99,-99,-99,-99
48183,Gregg County,Texas,23,6,121451,45233,7,2,8,2,7,1,1,1,222.15,378.59,750.4,509.81,541.81,0.376752314729,0.376781025667,0.376779685895,0.376793198807,0.376759668649,273.54,466.16,923.97,627.73,667.14,0.20813550339,0.208122222078,0.208130353652,0.20814121624,0.208120123148,324.44,552.91,1095.91,744.53,791.28,0.156731317741,0.156723466919,0.156718702173,0.156707241193,0.156712397893,475.79,810.84,1607.16,1091.87,1160.42,-99,-99,-99,-99,-99
48401,Rusk County,Texas,23,6,53211,46220,7,2,8,2,7,1,1,1,222.15,378.59,750.4,509.81,541.81,0.376752314729,0.376781025667,0.376779685895,0.376793198807,0.376759668649,273.54,466.16,923.97,627.73,667.14,0.20813550339,0.208122222078,0.208130353652,0.20814121624,0.208120123148,324.44,552.91,1095.91,744.53,791.28,0.156731317741,0.156723466919,0.156718702173,0.156707241193,0.156712397893,475.79,810.84,1607.16,1091.87,1160.42,-99,-99,-99,-99,-99
48459,Upshur County,Texas,23,6,39386,45696,7,2,8,2,7,1,1,1,222.15,378.59,750.4,509.81,541.81,0.376752314729,0.376781025667,0.376779685895,0.376793198807,0.376759668649,273.54,466.16,923.97,627.73,667.14,0.20813550339,0.208122222078,0.208130353652,0.20814121624,0.208120123148,324.44,552.91,1095.91,744.53,791.28,0.156731317741,0.156723466919,0.156718702173,0.156707241193,0.156712397893,475.79,810.84,1607.16,1091.87,1160.42,-99,-99,-99,-99,-99
01033,Colbert County,Ala.,17,11,54451,40158,4,3,6,4,5,3,2,1,198.75,338,670.5,455.5,483.75,0.340279182683,0.337501483914,0.338590537033,0.338524831031,0.337582259581,259.5,442.67,877.33,596.17,633.33,0.370369392443,0.371705684582,0.371578206832,0.371877624751,0.371289379669,293.6,500,991,673.2,715.6,0.230485530479,0.22963418383,0.229589557794,0.229465533143,0.229701166807,332.5,566,1122.5,762.5,810.5,0.161490900199,0.160192682177,0.160854637214,0.160702053491,0.160875418946
01077,Lauderdale County,Ala.,17,11,92528,40701,4,3,6,4,5,3,2,1,198.75,338,670.5,455.5,483.75,0.340279182683,0.337501483914,0.338590537033,0.338524831031,0.337582259581,259.5,442.67,877.33,596.17,633.33,0.370369392443,0.371705684582,0.371578206832,0.371877624751,0.371289379669,293.6,500,991,673.2,715.6,0.230485530479,0.22963418383,0.229589557794,0.229465533143,0.229701166807,332.5,566,1122.5,762.5,810.5,0.161490900199,0.160192682177,0.160854637214,0.160702053491,0.160875418946
48479,Webb County,Texas,28,9,250320,38421,8,3,10,3,9,2,1,1,188.88,321.89,638,433.44,460.66,0.334199819168,0.334214823964,0.33416980343,0.334154149224,0.334209947056,235.15,400.74,794.31,539.64,573.51,0.086143187067,0.0861381195614,0.0861531641282,0.0861599543831,0.0861285900801,284.01,484.02,959.36,651.77,692.7,0.0826559665395,0.0826734666488,0.0826594266676,0.0826616496716,0.0826820881525,357.16,608.67,1206.44,819.63,871.08,-99,-99,-99,-99,-99
48009,Archer County,Texas,23,6,8944,56250,7,2,8,2,7,1,1,1,238.55,406.54,805.8,547.44,581.82,0.323351566054,0.323381011595,0.323378705066,0.323373703677,0.323388923766,293.78,500.66,992.34,674.18,716.51,0.164276856777,0.164276031974,0.164271868991,0.164282912907,0.16428072342,349.78,596.1,1181.51,802.69,853.09,0.119194645733,0.119205422354,0.119193316156,0.119189210028,0.119193027573,499.99,852.08,1688.9,1147.4,1219.44,-99,-99,-99,-99,-99
48077,Clay County,Texas,23,6,10718,54298,7,2,8,2,7,1,1,1,238.55,406.54,805.8,547.44,581.82,0.323351566054,0.323381011595,0.323378705066,0.323373703677,0.323388923766,293.78,500.66,992.34,674.18,716.51,0.164276856777,0.164276031974,0.164271868991,0.164282912907,0.16428072342,349.78,596.1,1181.51,802.69,853.09,0.119194645733,0.119205422354,0.119193316156,0.119189210028,0.119193027573,499.99,852.08,1688.9,1147.4,1219.44,-99,-99,-99,-99,-99
48485,Wichita County,Texas,23,6,131019,45589,7,2,8,2,7,1,1,1,238.55,406.54,805.8,547.44,581.82,0.323351566054,0.323381011595,0.323378705066,0.323373703677,0.323388923766,293.78,500.66,992.34,674.18,716.51,0.164276856777,0.164276031974,0.164271868991,0.164282912907,0.16428072342,349.78,596.1,1181.51,802.69,853.09,0.119194645733,0.119205422354,0.119193316156,0.119189210028,0.119193027573,499.99,852.08,1688.9,1147.4,1219.44,-99,-99,-99,-99,-99
48025,Bee County,Texas,28,6,32083,40707,9,2,9,2,8,1,2,1,218.02,371.55,736.45,500.33,531.74,0.318547601855,0.31852852855,0.318560632035,0.318571210962,0.318566107093,258.09,439.83,871.79,592.27,629.46,0.169581897923,0.169564985006,0.169591349379,0.169585908491,0.169577604222,313.82,534.81,1060.04,720.17,765.39,0.159535313877,0.159529952518,0.159534685351,0.15953663617,0.159541267725,407.65,694.72,1376.99,935.5,994.23,0.516442229001,0.516392369145,0.516475408031,0.51650239917,0.516472956896
48249,Jim Wells County,Texas,28,6,41014,40723,9,2,9,2,8,1,2,1,218.02,371.55,736.45,500.33,531.74,0.318547601855,0.31852852855,0.318560632035,0.318571210962,0.318566107093,258.09,439.83,871.79,592.27,629.46,0.169581897923,0.169564985006,0.169591349379,0.169585908491,0.169577604222,313.82,534.81,1060.04,720.17,765.39,0.159535313877,0.159529952518,0.159534685351,0.15953663617,0.159541267725,407.65,694.72,1376.99,935.5,994.23,0.516442229001,0.516392369145,0.516475408031,0.51650239917,0.516472956896
48273,Kleberg County,Texas,28,6,31925,38058,9,2,9,2,8,1,2,1,218.02,371.55,736.45,500.33,531.74,0.318547601855,0.31852852855,0.318560632035,0.318571210962,0.318566107093,258.09,439.83,871.79,592.27,629.46,0.169581897923,0.169564985006,0.169591349379,0.169585908491,0.169577604222,313.82,534.81,1060.04,720.17,765.39,0.159535313877,0.159529952518,0.159534685351,0.15953663617,0.159541267725,407.65,694.72,1376.99,935.5,994.23,0.516442229001,0.516392369145,0.516475408031,0.51650239917,0.516472956896
