FIPS,c,s,m15,mdf,mx14,mxdf,m
02013,Aleutians East Borough,Alaska,2700,200,6000,0,5000
02016,Aleutians West Census Area,Alaska,2700,200,6000,0,5000
02020,Anchorage Municipality,Alaska,2700,200,6000,0,5000
02050,Bethel Census Area,Alaska,2700,200,6000,0,5000
02060,Bristol Bay Borough,Alaska,2700,200,6000,0,5000
02068,Denali Borough,Alaska,2700,200,6000,0,5000
02070,Dillingham Census Area,Alaska,2700,200,6000,0,5000
02090,Fairbanks North Star Borough,Alaska,2700,200,6000,0,5000
02100,Haines Borough,Alaska,2700,200,6000,0,5000
02105,Hoonah-Angoon Census Area,Alaska,2700,200,6000,0,5000
02110,Juneau City and Borough,Alaska,2700,200,6000,0,5000
02122,Kenai Peninsula Borough,Alaska,2700,200,6000,0,5000
02130,Ketchikan Gateway Borough,Alaska,2700,200,6000,0,5000
02150,Kodiak Island Borough,Alaska,2700,200,6000,0,5000
02164,Lake and Peninsula Borough,Alaska,2700,200,6000,0,5000
02170,Matanuska-Susitna Borough,Alaska,2700,200,6000,0,5000
02180,Nome Census Area,Alaska,2700,200,6000,0,5000
02185,North Slope Borough,Alaska,2700,200,6000,0,5000
02188,Northwest Arctic Borough,Alaska,2700,200,6000,0,5000
02195,Petersburg Census Area,Alaska,2700,200,6000,0,5000
02198,Prince of Wales-Hyder Census Area,Alaska,2700,200,6000,0,5000
02220,Sitka City and Borough,Alaska,2700,200,6000,0,5000
02230,Skagway Municipality,Alaska,2700,200,6000,0,5000
02240,Southeast Fairbanks Census Area,Alaska,2700,200,6000,0,5000
02261,Valdez-Cordova Census Area,Alaska,2700,200,6000,0,5000
02270,Wade Hampton Census Area,Alaska,2700,200,6000,0,5000
02275,Wrangell City and Borough,Alaska,2700,200,6000,0,5000
02282,Yakutat City and Borough,Alaska,2700,200,6000,0,5000
02290,Yukon-Koyukuk Census Area,Alaska,2700,200,6000,0,5000
01001,Autauga County,Ala.,4000,-800,10000,4000,6000
01003,Baldwin County,Ala.,4000,-800,10000,4000,6000
01005,Barbour County,Ala.,4000,-800,10000,4000,6000
01007,Bibb County,Ala.,4000,-800,10000,4000,6000
01009,Blount County,Ala.,4000,-800,10000,4000,6000
01011,Bullock County,Ala.,4000,-800,10000,4000,6000
01013,Butler County,Ala.,4000,-800,10000,4000,6000
01015,Calhoun County,Ala.,4000,-800,10000,4000,6000
01017,Chambers County,Ala.,4000,-800,10000,4000,6000
01019,Cherokee County,Ala.,4000,-800,10000,4000,6000
01021,Chilton County,Ala.,4000,-800,10000,4000,6000
01023,Choctaw County,Ala.,4000,-800,10000,4000,6000
01025,Clarke County,Ala.,4000,-800,10000,4000,6000
01027,Clay County,Ala.,4000,-800,10000,4000,6000
01029,Cleburne County,Ala.,4000,-800,10000,4000,6000
01031,Coffee County,Ala.,4000,-800,10000,4000,6000
01033,Colbert County,Ala.,4000,-800,10000,4000,6000
01035,Conecuh County,Ala.,4000,-800,10000,4000,6000
01037,Coosa County,Ala.,4000,-800,10000,4000,6000
01039,Covington County,Ala.,4000,-800,10000,4000,6000
01041,Crenshaw County,Ala.,4000,-800,10000,4000,6000
01043,Cullman County,Ala.,4000,-800,10000,4000,6000
01045,Dale County,Ala.,4000,-800,10000,4000,6000
01047,Dallas County,Ala.,4000,-800,10000,4000,6000
01049,DeKalb County,Ala.,4000,-800,10000,4000,6000
01051,Elmore County,Ala.,4000,-800,10000,4000,6000
01053,Escambia County,Ala.,4000,-800,10000,4000,6000
01055,Etowah County,Ala.,4000,-800,10000,4000,6000
01057,Fayette County,Ala.,4000,-800,10000,4000,6000
01059,Franklin County,Ala.,4000,-800,10000,4000,6000
01061,Geneva County,Ala.,4000,-800,10000,4000,6000
01063,Greene County,Ala.,4000,-800,10000,4000,6000
01065,Hale County,Ala.,4000,-800,10000,4000,6000
01067,Henry County,Ala.,4000,-800,10000,4000,6000
01069,Houston County,Ala.,4000,-800,10000,4000,6000
01071,Jackson County,Ala.,4000,-800,10000,4000,6000
01073,Jefferson County,Ala.,4000,-800,10000,800,6000
01075,Lamar County,Ala.,4000,-800,10000,4000,6000
01077,Lauderdale County,Ala.,4000,-800,10000,4000,6000
01079,Lawrence County,Ala.,4000,-800,10000,4000,6000
01081,Lee County,Ala.,4000,-800,10000,4000,6000
01083,Limestone County,Ala.,4000,-800,10000,4000,6000
01085,Lowndes County,Ala.,4000,-800,10000,4000,6000
01087,Macon County,Ala.,4000,-800,10000,4000,6000
01089,Madison County,Ala.,4000,-800,10000,800,6000
01091,Marengo County,Ala.,4000,-800,10000,4000,6000
01093,Marion County,Ala.,4000,-800,10000,4000,6000
01095,Marshall County,Ala.,4000,-800,10000,4000,6000
01097,Mobile County,Ala.,4000,-800,10000,4000,6000
01099,Monroe County,Ala.,4000,-800,10000,4000,6000
01101,Montgomery County,Ala.,4000,-800,10000,4000,6000
01103,Morgan County,Ala.,4000,-800,10000,4000,6000
01105,Perry County,Ala.,4000,-800,10000,4000,6000
01107,Pickens County,Ala.,4000,-800,10000,4000,6000
01109,Pike County,Ala.,4000,-800,10000,4000,6000
01111,Randolph County,Ala.,4000,-800,10000,4000,6000
01113,Russell County,Ala.,4000,-800,10000,4000,6000
01115,St. Clair County,Ala.,4000,-800,10000,4000,6000
01117,Shelby County,Ala.,4000,-800,10000,800,6000
01119,Sumter County,Ala.,4000,-800,10000,4000,6000
01121,Talladega County,Ala.,4000,-800,10000,4000,6000
01123,Tallapoosa County,Ala.,4000,-800,10000,4000,6000
01125,Tuscaloosa County,Ala.,4000,-800,10000,4000,6000
01127,Walker County,Ala.,4000,-800,10000,4000,6000
01129,Washington County,Ala.,4000,-800,10000,4000,6000
01131,Wilcox County,Ala.,4000,-800,10000,4000,6000
01133,Winston County,Ala.,4000,-800,10000,4000,6000
05001,Arkansas County,Ark.,3000,-1000,7000,0,5000
05003,Ashley County,Ark.,3000,-1000,7000,0,5000
05005,Baxter County,Ark.,3000,2700,7000,0,5000
05007,Benton County,Ark.,3000,2700,7000,0,5000
05009,Boone County,Ark.,3000,2700,7000,0,5000
05011,Bradley County,Ark.,3000,-1000,7000,0,5000
05013,Calhoun County,Ark.,3000,-1000,7000,0,5000
05015,Carroll County,Ark.,3000,2700,7000,0,5000
05017,Chicot County,Ark.,3000,-1000,7000,0,5000
05019,Clark County,Ark.,3000,2700,7000,0,5000
05021,Clay County,Ark.,3000,2700,7000,0,5000
05023,Cleburne County,Ark.,3000,2700,7000,0,5000
05025,Cleveland County,Ark.,3000,-1000,7000,0,5000
05027,Columbia County,Ark.,3000,-1000,7000,0,5000
05029,Conway County,Ark.,3000,2700,7000,0,5000
05031,Craighead County,Ark.,3000,2700,7000,0,5000
05033,Crawford County,Ark.,3000,2700,7000,0,5000
05035,Crittenden County,Ark.,3000,2700,7000,0,5000
05037,Cross County,Ark.,3000,2700,7000,0,5000
05039,Dallas County,Ark.,3000,-1000,7000,0,5000
05041,Desha County,Ark.,3000,-1000,7000,0,5000
05043,Drew County,Ark.,3000,-1000,7000,0,5000
05045,Faulkner County,Ark.,3000,2700,7000,0,5000
05047,Franklin County,Ark.,3000,2700,7000,0,5000
05049,Fulton County,Ark.,3000,2700,7000,0,5000
05051,Garland County,Ark.,3000,2700,7000,0,5000
05053,Grant County,Ark.,3000,2700,7000,0,5000
05055,Greene County,Ark.,3000,2700,7000,0,5000
05057,Hempstead County,Ark.,3000,-1000,7000,0,5000
05059,Hot Spring County,Ark.,3000,2700,7000,0,5000
05061,Howard County,Ark.,3000,-1000,7000,0,5000
05063,Independence County,Ark.,3000,2700,7000,0,5000
05065,Izard County,Ark.,3000,2700,7000,0,5000
05067,Jackson County,Ark.,3000,2700,7000,0,5000
05069,Jefferson County,Ark.,3000,-1000,7000,0,5000
05071,Johnson County,Ark.,3000,2700,7000,0,5000
05073,Lafayette County,Ark.,3000,-1000,7000,0,5000
05075,Lawrence County,Ark.,3000,2700,7000,0,5000
05077,Lee County,Ark.,3000,-1000,7000,0,5000
05079,Lincoln County,Ark.,3000,-1000,7000,0,5000
05081,Little River County,Ark.,3000,-1000,7000,0,5000
05083,Logan County,Ark.,3000,2700,7000,0,5000
05085,Lonoke County,Ark.,3000,2700,7000,0,5000
05087,Madison County,Ark.,3000,2700,7000,0,5000
05089,Marion County,Ark.,3000,2700,7000,0,5000
05091,Miller County,Ark.,3000,-1000,7000,0,5000
05093,Mississippi County,Ark.,3000,2700,7000,0,5000
05095,Monroe County,Ark.,3000,-1000,7000,0,5000
05097,Montgomery County,Ark.,3000,2700,7000,0,5000
05099,Nevada County,Ark.,3000,-1000,7000,0,5000
05101,Newton County,Ark.,3000,2700,7000,0,5000
05103,Ouachita County,Ark.,3000,-1000,7000,0,5000
