FIPS,c,s,sf
02013,Aleutians East Borough,Alaska,4582
02016,Aleutians West Census Area,Alaska,4582
02020,Anchorage Municipality,Alaska,4582
02050,Bethel Census Area,Alaska,4582
02060,Bristol Bay Borough,Alaska,4582
02068,Denali Borough,Alaska,4582
02070,Dillingham Census Area,Alaska,4582
02090,Fairbanks North Star Borough,Alaska,4582
02100,Haines Borough,Alaska,4582
02105,Hoonah-Angoon Census Area,Alaska,4582
02110,Juneau City and Borough,Alaska,4582
02122,Kenai Peninsula Borough,Alaska,4582
02130,Ketchikan Gateway Borough,Alaska,4582
02150,Kodiak Island Borough,Alaska,4582
02164,Lake and Peninsula Borough,Alaska,4582
02170,Matanuska-Susitna Borough,Alaska,4582
02180,Nome Census Area,Alaska,4582
02185,North Slope Borough,Alaska,4582
02188,Northwest Arctic Borough,Alaska,4582
02195,Petersburg Census Area,Alaska,4582
02198,Prince of Wales-Hyder Census Area,Alaska,4582
02220,Sitka City and Borough,Alaska,4582
02230,Skagway Municipality,Alaska,4582
02240,Southeast Fairbanks Census Area,Alaska,4582
02261,Valdez-Cordova Census Area,Alaska,4582
02270,Wade Hampton Census Area,Alaska,4582
02275,Wrangell City and Borough,Alaska,4582
02282,Yakutat City and Borough,Alaska,4582
02290,Yukon-Koyukuk Census Area,Alaska,4582
01001,Autauga County,Ala.,6667
01003,Baldwin County,Ala.,6667
01005,Barbour County,Ala.,6667
01007,Bibb County,Ala.,6667
01009,Blount County,Ala.,6667
01011,Bullock County,Ala.,6667
01013,Butler County,Ala.,6667
01015,Calhoun County,Ala.,6667
01017,Chambers County,Ala.,6667
01019,Cherokee County,Ala.,6667
01021,Chilton County,Ala.,6667
01023,Choctaw County,Ala.,6667
01025,Clarke County,Ala.,6667
01027,Clay County,Ala.,6667
01029,Cleburne County,Ala.,6667
01031,Coffee County,Ala.,6667
01033,Colbert County,Ala.,6667
01035,Conecuh County,Ala.,6667
01037,Coosa County,Ala.,6667
01039,Covington County,Ala.,6667
01041,Crenshaw County,Ala.,6667
01043,Cullman County,Ala.,6667
01045,Dale County,Ala.,6667
01047,Dallas County,Ala.,6667
01049,DeKalb County,Ala.,6667
01051,Elmore County,Ala.,6667
01053,Escambia County,Ala.,6667
01055,Etowah County,Ala.,6667
01057,Fayette County,Ala.,6667
01059,Franklin County,Ala.,6667
01061,Geneva County,Ala.,6667
01063,Greene County,Ala.,6667
01065,Hale County,Ala.,6667
01067,Henry County,Ala.,6667
01069,Houston County,Ala.,6667
01071,Jackson County,Ala.,6667
01073,Jefferson County,Ala.,7029
01075,Lamar County,Ala.,6667
01077,Lauderdale County,Ala.,6667
01079,Lawrence County,Ala.,6667
01081,Lee County,Ala.,6667
01083,Limestone County,Ala.,6667
01085,Lowndes County,Ala.,6667
01087,Macon County,Ala.,6667
01089,Madison County,Ala.,7029
01091,Marengo County,Ala.,6667
01093,Marion County,Ala.,6667
01095,Marshall County,Ala.,6667
01097,Mobile County,Ala.,6667
01099,Monroe County,Ala.,6667
01101,Montgomery County,Ala.,6667
01103,Morgan County,Ala.,6667
01105,Perry County,Ala.,6667
01107,Pickens County,Ala.,6667
01109,Pike County,Ala.,6667
01111,Randolph County,Ala.,6667
01113,Russell County,Ala.,6667
01115,St. Clair County,Ala.,6667
01117,Shelby County,Ala.,7029
01119,Sumter County,Ala.,6667
01121,Talladega County,Ala.,6667
01123,Tallapoosa County,Ala.,6667
01125,Tuscaloosa County,Ala.,6667
01127,Walker County,Ala.,6667
01129,Washington County,Ala.,6667
01131,Wilcox County,Ala.,6667
01133,Winston County,Ala.,6667
05001,Arkansas County,Ark.,4917
05003,Ashley County,Ark.,4917
05005,Baxter County,Ark.,4917
05007,Benton County,Ark.,4917
05009,Boone County,Ark.,4917
05011,Bradley County,Ark.,4917
05013,Calhoun County,Ark.,4917
05015,Carroll County,Ark.,4917
05017,Chicot County,Ark.,4917
05019,Clark County,Ark.,4917
05021,Clay County,Ark.,4917
05023,Cleburne County,Ark.,4917
05025,Cleveland County,Ark.,4917
05027,Columbia County,Ark.,4917
05029,Conway County,Ark.,4917
05031,Craighead County,Ark.,4917
05033,Crawford County,Ark.,4917
05035,Crittenden County,Ark.,4917
05037,Cross County,Ark.,4917
05039,Dallas County,Ark.,4917
05041,Desha County,Ark.,4917
05043,Drew County,Ark.,4917
05045,Faulkner County,Ark.,4917
05047,Franklin County,Ark.,4917
05049,Fulton County,Ark.,4917
05051,Garland County,Ark.,4917
05053,Grant County,Ark.,4917
05055,Greene County,Ark.,4917
05057,Hempstead County,Ark.,4917
05059,Hot Spring County,Ark.,4917
05061,Howard County,Ark.,4917
05063,Independence County,Ark.,4917
05065,Izard County,Ark.,4917
05067,Jackson County,Ark.,4917
05069,Jefferson County,Ark.,4917
05071,Johnson County,Ark.,4917
05073,Lafayette County,Ark.,4917
05075,Lawrence County,Ark.,4917
05077,Lee County,Ark.,4917
05079,Lincoln County,Ark.,4917
05081,Little River County,Ark.,4917
05083,Logan County,Ark.,4917
05085,Lonoke County,Ark.,4917
05087,Madison County,Ark.,4917
05089,Marion County,Ark.,4917
05091,Miller County,Ark.,4917
05093,Mississippi County,Ark.,4917
05095,Monroe County,Ark.,4917
05097,Montgomery County,Ark.,4917
05099,Nevada County,Ark.,4917
05101,Newton County,Ark.,4917
05103,Ouachita County,Ark.,4917
05105,Perry County,Ark.,4917
05107,Phillips County,Ark.,4917
05109,Pike County,Ark.,4917
05111,Poinsett County,Ark.,4917
05113,Polk County,Ark.,4917
05115,Pope County,Ark.,4917
05117,Prairie County,Ark.,4917
05119,Pulaski County,Ark.,4917
05121,Randolph County,Ark.,4917
05123,St. Francis County,Ark.,4917
05125,Saline County,Ark.,4917
05127,Scott County,Ark.,4917
05129,Searcy County,Ark.,4917
05131,Sebastian County,Ark.,4917
05133,Sevier County,Ark.,4917
05135,Sharp County,Ark.,4917
05137,Stone County,Ark.,4917
05139,Union County,Ark.,4917
05141,Van Buren County,Ark.,4917
05143,Washington County,Ark.,4917
05145,White County,Ark.,4917
05147,Woodruff County,Ark.,4917
05149,Yell County,Ark.,4917
04001,Apache County,Ariz.,5245
04003,Cochise County,Ariz.,5315
04005,Coconino County,Ariz.,5245
04007,Gila County,Ariz.,5268
04009,Graham County,Ariz.,5315
04011,Greenlee County,Ariz.,5315
04012,La Paz County,Ariz.,5315
04013,Maricopa County,Ariz.,6089
04015,Mohave County,Ariz.,5376
04017,Navajo County,Ariz.,5245
04019,Pima County,Ariz.,5962
04021,Pinal County,Ariz.,5540
04023,Santa Cruz County,Ariz.,5732
04025,Yavapai County,Ariz.,5332
04027,Yuma County,Ariz.,5315
10001,Kent County,Del.,6286
10003,New Castle County,Del.,6286
10005,Sussex County,Del.,6286
12001,Alachua County,Fla.,8920
12003,Baker County,Fla.,9285
12005,Bay County,Fla.,9285
12007,Bradford County,Fla.,8920
12009,Brevard County,Fla.,6735
12011,Broward County,Fla.,7492
12013,Calhoun County,Fla.,8243
12015,Charlotte County,Fla.,9279
12017,Citrus County,Fla.,9285
12019,Clay County,Fla.,9285
12021,Collier County,Fla.,9285
12023,Columbia County,Fla.,8920
12027,DeSoto County,Fla.,8920
12029,Dixie County,Fla.,8920
12031,Duval County,Fla.,8913
12033,Escambia County,Fla.,8913
12035,Flagler County,Fla.,7448
12037,Franklin County,Fla.,8243
12039,Gadsden County,Fla.,8243
12041,Gilchrist County,Fla.,8920
12043,Glades County,Fla.,8243
12045,Gulf County,Fla.,8920
12047,Hamilton County,Fla.,8243
12049,Hardee County,Fla.,8243
12051,Hendry County,Fla.,8920
12053,Hernando County,Fla.,8111
12055,Highlands County,Fla.,8920
12057,Hillsborough County,Fla.,8168
12059,Holmes County,Fla.,8243
12061,Indian River County,Fla.,6361
12063,Jackson County,Fla.,8243
12065,Jefferson County,Fla.,8243
12067,Lafayette County,Fla.,8243
12069,Lake County,Fla.,8168
12071,Lee County,Fla.,7633
12073,Leon County,Fla.,8243
12075,Levy County,Fla.,8920
12077,Liberty County,Fla.,8243
12079,Madison County,Fla.,8243
12081,Manatee County,Fla.,7500
12083,Marion County,Fla.,9285
12085,Martin County,Fla.,8111
12086,Miami-Dade County,Fla.,7556
12087,Monroe County,Fla.,6780
12089,Nassau County,Fla.,8920
12091,Okaloosa County,Fla.,9285
12093,Okeechobee County,Fla.,8920
12095,Orange County,Fla.,8168
12097,Osceola County,Fla.,8168
12099,Palm Beach County,Fla.,7492
12101,Pasco County,Fla.,8168
12103,Pinellas County,Fla.,8168
12105,Polk County,Fla.,8168
12107,Putnam County,Fla.,8243
12109,St. Johns County,Fla.,9285
12111,St. Lucie County,Fla.,7633
12113,Santa Rosa County,Fla.,8913
12115,Sarasota County,Fla.,7950
12117,Seminole County,Fla.,7852
12119,Sumter County,Fla.,8111
12121,Suwannee County,Fla.,8920
12123,Taylor County,Fla.,8243
12125,Union County,Fla.,8243
12127,Volusia County,Fla.,7442
12129,Wakulla County,Fla.,8243
12131,Walton County,Fla.,9285
12133,Washington County,Fla.,8243
13001,Appling County,Ga.,6123
13003,Atkinson County,Ga.,6055
13005,Bacon County,Ga.,6055
13007,Baker County,Ga.,6123
13009,Baldwin County,Ga.,6055
13011,Banks County,Ga.,5639
13013,Barrow County,Ga.,5977
13015,Bartow County,Ga.,5431
13017,Ben Hill County,Ga.,6055
13019,Berrien County,Ga.,6123
13021,Bibb County,Ga.,6339
13023,Bleckley County,Ga.,6258
13025,Brantley County,Ga.,6258
13027,Brooks County,Ga.,6055
13029,Bryan County,Ga.,6293
13031,Bulloch County,Ga.,6258
13033,Burke County,Ga.,6258
13035,Butts County,Ga.,6387
13037,Calhoun County,Ga.,6055
13039,Camden County,Ga.,6258
13043,Candler County,Ga.,6258
13045,Carroll County,Ga.,5431
13047,Catoosa County,Ga.,5509
13049,Charlton County,Ga.,6055
13051,Chatham County,Ga.,6487
13053,Chattahoochee County,Ga.,6659
